Title,Genres,Release_year,Run_time,IMDB_rating,Age_rating,Production_country,Link
jeet ki zid,,2021,,8.3 (2.7k),UA,,https://www.justwatch.com/in/tv-show/jeet-ki-zid
sunflower 2021,,,,,,,https://www.justwatch.com/in/tv-show/sunflower-2021
into the fire the lost daughter,"Documentary, Crime, Mystery & Thriller",2024,1h 16min,7.7 (1.3k),,United States,https://www.justwatch.com/in/tv-show/into-the-fire-the-lost-daughter
3 body problem,"Drama, Science-Fiction, Mystery & Thriller, Fantasy",,,,,United States,https://www.justwatch.com/in/tv-show/3-body-problem
euphoria,Drama,,58min,,,,https://www.justwatch.com/in/tv-show/euphoria
no gain no love,"Comedy, Romance, Drama",2024,1h 7min,,,South Korea,https://www.justwatch.com/in/tv-show/no-gain-no-love
gullak,,2019,30min,,,India,https://www.justwatch.com/in/tv-show/gullak
tulsa king,,,39min,,,United States,https://www.justwatch.com/in/tv-show/tulsa-king
modern family,"Romance, Comedy, Drama",2009,21min,8.5 (496k),,,https://www.justwatch.com/in/tv-show/modern-family
worst ex ever,,,,,,,https://www.justwatch.com/in/tv-show/worst-ex-ever
follow karlo yaar,Reality TV,2024,31min,,,India,https://www.justwatch.com/in/tv-show/follow-karlo-yaar
mahabharatham,"Drama, History, War & Military",2013,23min,9.0 (12k),,"United States, India",https://www.justwatch.com/in/tv-show/mahabharatham
true detective,"Mystery & Thriller, Drama, Crime",2014,1h 1min,8.9 (670k),,,https://www.justwatch.com/in/tv-show/true-detective
slow horses,,,44min,,,,https://www.justwatch.com/in/tv-show/slow-horses
stranger things,,,1h 1min,,,,https://www.justwatch.com/in/tv-show/stranger-things
jujutsu kaisen,,,,,,,https://www.justwatch.com/in/tv-show/jujutsu-kaisen
fallout,"Drama, Science-Fiction, War & Military, Action & Adventure",,59min,,A,United States,https://www.justwatch.com/in/tv-show/fallout
the walking dead,"Science-Fiction, Action & Adventure, Drama, Horror, Mystery & Thriller",,,8.1 (1m),U,United States,https://www.justwatch.com/in/tv-show/the-walking-dead
she,,2020,41min,6.4 (6.6k),,India,https://www.justwatch.com/in/tv-show/she
the vampire diaries,"Science-Fiction, Drama, Fantasy, Horror, Romance, Mystery & Thriller",2009,,7.7 (356k),,,https://www.justwatch.com/in/tv-show/the-vampire-diaries
tanaav,,,,,,India,https://www.justwatch.com/in/tv-show/tanaav
english teacher,Comedy,2024,23min,,,United States,https://www.justwatch.com/in/tv-show/english-teacher
scam 1992,,,,,,India,https://www.justwatch.com/in/tv-show/scam-1992
lost,,,43min,8.3 (610k),U,United States,https://www.justwatch.com/in/tv-show/lost
naruto,"Animation, Action & Adventure, Science-Fiction, Comedy, Fantasy",2002,23min,8.4 (134k),,,https://www.justwatch.com/in/tv-show/naruto
industry,Drama,2020,56min,,,,https://www.justwatch.com/in/tv-show/industry
inspector avinash,,,41min,,,India,https://www.justwatch.com/in/tv-show/inspector-avinash
mayday,"Crime, History, Documentary, Drama",,45min,8.8 (6.1k),U,Canada,https://www.justwatch.com/in/tv-show/mayday
the good doctor,,,43min,,,,https://www.justwatch.com/in/tv-show/the-good-doctor
