Title,Genra,Release_year,Run_time,IMDB_rating,Age_rating,Production_country,Link
indian 2,"Action & Adventure, Drama, Mystery & Thriller",2024,3h 0min,4.0 (15k),UA,India,https://www.justwatch.com/in/movie/indian-2
golam,Crime,2024,2h 0min,7.2 (2.9k),UA,India,https://www.justwatch.com/in/movie/golam
alien romulus,"Horror, Science-Fiction, Mystery & Thriller",2024,1h 59min,7.4 (99k),A,United States,https://www.justwatch.com/in/movie/alien-romulus
geostorm,"Mystery & Thriller, Action & Adventure, Science-Fiction",2017,1h 49min,5.3 (121k),,"Canada, Hong Kong, United States",https://www.justwatch.com/in/movie/geostorm
maharshi,"Drama, Action & Adventure",2019,2h 56min,7.2 (10k),UA,India,https://www.justwatch.com/in/movie/maharshi
american psycho,"Crime, Mystery & Thriller, Drama, Horror",2000,1h 42min,7.6 (739k),A,"United States, Canada",https://www.justwatch.com/in/movie/american-psycho
mr bachchan,"Drama, Action & Adventure, Crime, Romance, Mystery & Thriller",2024,2h 40min,4.0 (4.7k),UA,India,https://www.justwatch.com/in/movie/mr-bachchan
it ends with us,"Drama, Romance",2024,2h 11min,6.7,A,United States,https://www.justwatch.com/in/movie/it-ends-with-us
a quiet place day one,"Horror, Science-Fiction, Mystery & Thriller, Drama",2024,1h 39min,6.3 (96k),,"United States, United Kingdom, Canada",https://www.justwatch.com/in/movie/a-quiet-place-day-one
thalavan,"Drama, Crime, Mystery & Thriller",2024,2h 13min,7.2 (1.7k),,India,https://www.justwatch.com/in/movie/thalavan
hanu man,"Fantasy, Action & Adventure, Comedy, Science-Fiction",2024,2h 39min,7.8 (27k),UA,India,https://www.justwatch.com/in/movie/hanu-man
sam bahadur,"War & Military, Drama, History",2023,2h 30min,7.7 (18k),UA,India,https://www.justwatch.com/in/movie/sam-bahadur
oppenheimer,"Drama, History",2023,3h 0min,8.3 (795k),UA,"United Kingdom, United States",https://www.justwatch.com/in/movie/oppenheimer
the gangster the cop the devil,"Crime, Action & Adventure, Mystery & Thriller",2019,1h 50min,6.9 (25k),,South Korea,https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
the intern,"Comedy, Drama",2015,2h 1min,7.1 (281k),,United States,https://www.justwatch.com/in/movie/the-intern
mangalavaram,"Horror, Mystery & Thriller, Action & Adventure",2023,2h 29min,6.7 (2.9k),,India,https://www.justwatch.com/in/movie/mangalavaram
the union,"Comedy, Mystery & Thriller, Action & Adventure",2024,1h 49min,5.4 (35k),,United States,https://www.justwatch.com/in/movie/the-union
khel khel mein,"Comedy, Drama",2024,2h 15min,7.0 (19k),UA,India,https://www.justwatch.com/in/movie/khel-khel-mein
harom hara,"Action & Adventure, Crime, Drama",2024,2h 34min,7.9 (2.8k),A,India,https://www.justwatch.com/in/movie/harom-hara
maharaj,"Drama, History, Crime, Mystery & Thriller",2024,2h 12min,6.6 (12k),,India,https://www.justwatch.com/in/movie/maharaj
laapataa ladies,"Comedy, Drama",2024,2h 2min,8.4 (41k),UA,India,https://www.justwatch.com/in/movie/laapataa-ladies
deadpool,"Action & Adventure, Comedy",2016,1h 48min,8.0 (1m),A,United States,https://www.justwatch.com/in/movie/deadpool
harry potter and the philosophers stone,"Action & Adventure, Fantasy, Kids & Family",2001,2h 32min,7.6 (870k),U,"United Kingdom, United States",https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
demonte colony,"Horror, Mystery & Thriller",2015,1h 56min,7.0 (3k),UA,India,https://www.justwatch.com/in/movie/demonte-colony
aay,Comedy,2024,2h 22min,6.8 (311),,India,https://www.justwatch.com/in/movie/aay
agent,"Mystery & Thriller, Action & Adventure",2023,2h 34min,4.2 (1.5k),UA,India,https://www.justwatch.com/in/movie/agent
animal 2022,"Drama, Action & Adventure, Crime, Mystery & Thriller",2023,3h 21min,6.1 (98k),A,India,https://www.justwatch.com/in/movie/animal-2022
manjummel boys,"Drama, Mystery & Thriller, Action & Adventure",2024,2h 15min,8.3 (22k),UA,India,https://www.justwatch.com/in/movie/manjummel-boys
